Analyzed file:	F:\Learning\Ьрушёђ№\Video for disser\mega3.mp4
Frame Й	460 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (258, 136)]
+Object's Й: 1
 Coordinate: [89 x 178 from (94, 110)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (258, 136)]
+Object's Й: 1
 Coordinate: [89 x 178 from (94, 110)]
Frame Й	461 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	462 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	463 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [97 x 194 from (94, 102)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [97 x 194 from (94, 102)]
Frame Й	464 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (259, 118)]
+Object's Й: 1
 Coordinate: [99 x 199 from (93, 99)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (259, 118)]
+Object's Й: 1
 Coordinate: [99 x 199 from (93, 99)]
Frame Й	465 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	466 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (273, 122)]
+Object's Й: 1
 Coordinate: [96 x 192 from (96, 96)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (273, 122)]
+Object's Й: 1
 Coordinate: [96 x 192 from (96, 96)]
Frame Й	467 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (275, 118)]
+Object's Й: 1
 Coordinate: [96 x 192 from (96, 96)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (275, 118)]
+Object's Й: 1
 Coordinate: [96 x 192 from (96, 96)]
Frame Й	468 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [96 x 191 from (278, 116)]
+Object's Й: 1
 Coordinate: [94 x 188 from (95, 95)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [96 x 191 from (278, 116)]
+Object's Й: 1
 Coordinate: [94 x 188 from (95, 95)]
Frame Й	469 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [100 x 201 from (277, 108)]
+Object's Й: 1
 Coordinate: [94 x 188 from (94, 94)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [100 x 201 from (277, 108)]
+Object's Й: 1
 Coordinate: [94 x 188 from (94, 94)]
Frame Й	470 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [99 x 198 from (278, 109)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [99 x 198 from (278, 109)]
Frame Й	471 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (274, 104)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (274, 104)]
Frame Й	472 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (276, 98)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (276, 98)]
Frame Й	473 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (276, 98)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (276, 98)]
Frame Й	474 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (275, 92)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (275, 92)]
Frame Й	475 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 222 from (273, 86)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 222 from (273, 86)]
Frame Й	476 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [92 x 184 from (284, 93)]
+Object's Й: 1
 Coordinate: [82 x 164 from (102, 86)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [92 x 184 from (284, 93)]
+Object's Й: 1
 Coordinate: [82 x 164 from (102, 86)]
Frame Й	477 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (274, 73)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (274, 73)]
Frame Й	478 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (280, 72)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (280, 72)]
Frame Й	479 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	480 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [105 x 211 from (281, 64)]
+Object's Й: 1
 Coordinate: [101 x 201 from (97, 59)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [105 x 211 from (281, 64)]
+Object's Й: 1
 Coordinate: [101 x 201 from (97, 59)]
Frame Й	481 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [97 x 193 from (96, 63)]
+Object's Й: 1
 Coordinate: [102 x 206 from (282, 64)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [97 x 193 from (96, 63)]
+Object's Й: 1
 Coordinate: [102 x 206 from (282, 64)]
Frame Й	482 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	483 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	484 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	485 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	486 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	487 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	488 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (284, 46)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (284, 46)]
Frame Й	489 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (292, 47)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (292, 47)]
Frame Й	490 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (292, 43)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [96 x 192 from (292, 43)]
Frame Й	491 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (294, 40)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (294, 40)]
Frame Й	492 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (294, 38)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 190 from (294, 38)]
Frame Й	493 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [89 x 178 from (298, 40)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [89 x 178 from (298, 40)]
Frame Й	494 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [93 x 186 from (298, 34)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [93 x 186 from (298, 34)]
Frame Й	495 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (292, 27)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (292, 27)]
Frame Й	496 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (295, 25)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (295, 25)]
Frame Й	497 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (294, 22)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (294, 22)]
Frame Й	498 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 203 from (292, 20)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 203 from (292, 20)]
Frame Й	499 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 214 from (294, 14)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 214 from (294, 14)]
Frame Й	500 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (296, 13)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (296, 13)]
Frame Й	501 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [100 x 201 from (298, 12)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [100 x 201 from (298, 12)]
Frame Й	502 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [98 x 196 from (299, 12)]
+Object's Й: 1
 Coordinate: [70 x 139 from (316, 26)]
				-----rejected------
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [98 x 196 from (299, 12)]
Frame Й	503 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	504 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	505 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	506 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	507 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (303, -6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (303, -6)]
Frame Й	508 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	509 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	510 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	511 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	512 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	513 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	514 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	515 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [92 x 185 from (314, -23)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [92 x 185 from (314, -23)]
Frame Й	516 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [86 x 173 from (316, -20)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [86 x 173 from (316, -20)]
Frame Й	517 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [88 x 176 from (315, -22)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [88 x 176 from (315, -22)]
Frame Й	518 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (317, -21)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (317, -21)]
Frame Й	519 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (317, -21)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (317, -21)]
Frame Й	520 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	521 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	522 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	523 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	524 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	525 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	526 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	527 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	528 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	529 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	530 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	531 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	532 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	533 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	534 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	535 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	536 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	537 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	538 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	539 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	540 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	541 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	542 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	543 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	544 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	545 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	546 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	547 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	548 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	549 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	550 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 223 from (554, 54)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 223 from (554, 54)]
Frame Й	551 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [78 x 156 from (564, 141)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [78 x 156 from (564, 141)]
Frame Й	552 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	553 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	554 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	555 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	556 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [74 x 148 from (550, 134)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [74 x 148 from (550, 134)]
Frame Й	557 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Frame Й	558 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Frame Й	559 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (549, 41)]
Frame Й	560 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	561 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	562 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (540, 28)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (540, 28)]
Frame Й	563 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [105 x 210 from (543, 32)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [105 x 210 from (543, 32)]
Frame Й	564 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 223 from (540, 27)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 223 from (540, 27)]
Frame Й	565 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (539, 26)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (539, 26)]
Frame Й	566 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Frame Й	567 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Frame Й	568 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (540, 22)]
Frame Й	569 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (536, 15)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (536, 15)]
Frame Й	570 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	571 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	572 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 215 from (540, 18)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 215 from (540, 18)]
Frame Й	573 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [118 x 236 from (531, 8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [118 x 236 from (531, 8)]
Frame Й	574 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (530, 6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (530, 6)]
Frame Й	575 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (530, 6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 235 from (530, 6)]
Frame Й	576 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [120 x 239 from (526, 3)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [120 x 239 from (526, 3)]
Frame Й	577 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 225 from (527, 8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 225 from (527, 8)]
Frame Й	578 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (528, 9)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (528, 9)]
Frame Й	579 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [125 x 249 from (516, 5)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [125 x 249 from (516, 5)]
Frame Й	580 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Frame Й	581 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Frame Й	582 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Frame Й	583 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [133 x 266 from (515, -8)]
Frame Й	584 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (522, 15)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (522, 15)]
Frame Й	585 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	586 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	587 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (535, -6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (535, -6)]
Frame Й	588 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [93 x 186 from (536, -6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [93 x 186 from (536, -6)]
Frame Й	589 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [92 x 185 from (534, -6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [92 x 185 from (534, -6)]
Frame Й	590 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	591 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	592 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	593 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [93 x 187 from (532, -12)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [93 x 187 from (532, -12)]
Frame Й	594 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [93 x 187 from (532, -12)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [93 x 187 from (532, -12)]
Frame Й	595 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	596 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [98 x 196 from (524, -19)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [98 x 196 from (524, -19)]
Frame Й	597 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (525, -13)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (525, -13)]
Frame Й	598 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	599 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [98 x 196 from (525, -25)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [98 x 196 from (525, -25)]
Frame Й	600 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (532, -24)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [95 x 189 from (532, -24)]
Frame Й	601 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	602 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	603 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	604 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [86 x 172 from (530, -21)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [86 x 172 from (530, -21)]
Frame Й	605 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	606 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	607 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [82 x 164 from (530, -20)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [82 x 164 from (530, -20)]
Frame Й	608 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	609 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	610 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	611 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	612 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [74 x 148 from (537, -9)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [74 x 148 from (537, -9)]
Frame Й	613 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [71 x 141 from (538, -4)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [71 x 141 from (538, -4)]
Frame Й	614 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	615 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	616 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	617 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	618 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	619 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	620 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	621 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	622 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [76 x 152 from (535, 59)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [76 x 152 from (535, 59)]
Frame Й	623 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	624 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	625 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (472, 275)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (472, 275)]
Frame Й	626 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	627 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	628 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	629 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (549, 276)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 224 from (549, 276)]
Frame Й	630 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (542, 275)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (542, 275)]
Frame Й	631 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [109 x 217 from (540, 280)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [109 x 217 from (540, 280)]
Frame Й	632 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	633 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (531, 271)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (531, 271)]
Frame Й	634 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (524, 266)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (524, 266)]
Frame Й	635 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (445, 241)]
Object's 
